author,name,price,wordCount
唐东平,摄影构图,1920,81025
林学军,国际商务,3430,360437
谢爱萍,会计学基础（第四版）,2340,202591
[日] 清水建二,趣味图解英语单词,3600,91682
[美] 鲁思·本尼迪克特,菊与刀,600,164077
李永新,笔杆子是怎样炼成的,5530,148076
宫迅伟 等,供应商全生命周期管理,3000,156416
骆文伟,中国传统文化概论,2436,190137
张存萍 主编,证券投资基金,1330,111405
[美] 巴拉克·奥巴马,奥巴马演说集,192,140344
秋叶,不要等到毕业以后（升级版）,2399,115761
[美] 卡萝尔·吕克特（Carol Rueckert）,生活英语口语100主题,1799,242413
林子雨,大数据技术原理与应用（第2版）,2999,225745
伍君仪,把你的英语用起来！,500,119162
张玉红,从零起步：素描基础教程,636,46259
戴勇坚,法律谈判实训教程,3360,168190
中华书局编辑部,高中生必背古诗文72篇（必背版）,2280,135693
田雪松,Elastic Stack应用宝典,7990,215615
[英] 王尔德,快乐王子,100,136143
刘桂华,大学生实用口才训练教程,1599,255127
梁衡,把栏杆拍遍,226,154391
尚元君  主编,税务会计,1750,170430
[英] 比尔·布莱森,英文超正典,2495,176993
[美] 马克·列文（Mark Levine）,爵士乐宝典,9440,154000
林瑞青,大学生职业规划与职业素养,1750,175369
张雪峰,选择比努力更重要,599,195331
孙秀秋  编著,应用写作（第五版）,1950,283737
[美] 劳拉·布朗,完全写作指南,1999,219600
赵国俊,电子政务教程（第三版）,2100,266312
王立平 主编,智能制造装备及系统,2381,178488
陈岩光,数据中心数字孪生应用实践,5530,58672
汪立夏,大学生心理健康朋辈互助（大学生心理自助丛书）,2040,106478
传智播客高教产品研发部,C#程序设计基础入门教程,2700,118985
赵兴民,商务翻译：译·注·评,3139,173217
趣千厘,Vue.js 3.x+Element Plus前端开发实战,3465,109549
[美] 阿曼达·克兰德尔·朱,商务英语写作100主题,1799,118078
温儒敏,温儒敏语文讲习录,1992,293679
贾平凹,贾平凹经典,750,153320
刘爱华,大学生幸福心理课,900,144234
王莹,大学生职业生涯规划,2354,212956
周伟,职场关键能力（第2版）,2190,271091
长尾君,什么是高中物理,2786,74980
张兰勇 编,LabVIEW程序设计基础与应用,4990,185878
[英] 约翰·比加姆（John Biggam）,研究生高分论文写作（第四版）,2879,218765
小简学堂,《红楼梦》（精读课程）,1499,188949
葛传椝,葛传椝向学习英语者讲话,999,36521
[英] 莎士比亚,哈姆雷特,599,118044
马丁·H·曼瑟,英语人名词语趣谈,599,143299
张富,C及C++程序设计(第4版),2988,175572
杨青,拜厄钢琴基础教程（重点提示版）,1120,13003
[加] 布兰登·罗伊尔,一本小小的金色语法书,800,60873
何海涛,剑指Offer（专项突破版）,6230,238480
葛传槼,葛传槼英语惯用法词典,3299,595324
金晶,研究生英语学术论文写作,3920,38232
天道教育 编,留学生了嘛系列 美国留学申请（小白篇）,99,38802
