职位名称,公司名称,薪资,城市,发布时间,详细信息,内容
开平市长沙时涧餐厅招聘厨师,开平市长沙时涧餐厅,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙季乐世...招聘奶茶店店员,开平市长沙季乐世饮品店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '饮品店员']",
开平市长沙串霸美食店招聘厨师,开平市长沙串霸美食店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙渔乐泯...招聘厨师,开平市长沙渔乐泯美食店,4-9K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙蚝将餐饮店招聘烧烤师傅,开平市长沙蚝将餐饮店,4-7K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙九合饮品店招聘厨师,开平市长沙九合饮品店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙伟轩饮品店招聘店员/营业员,开平市长沙伟轩饮品店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '导购/营业员']",
长沙客蜀行美食店招聘后厨,开平市长沙客蜀行美食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平长沙澳莱酷品牛扒招聘日料厨师,开平市长沙澳莱酷品牛扒店,3-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙藤原家...招聘日料厨师,开平市长沙藤原家饮食店,4-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙邻家儿...招聘育婴师,开平市长沙邻家儿女婴儿游泳馆,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '幼教/早教']",
开平市长沙绿苑花木场招聘调酒师,开平市长沙绿苑花木场,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '调酒师/吧台员']",
开平市长沙大渔美食店招聘厨师,开平市长沙大渔美食店,3-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙开通餐厅招聘厨师,开平市长沙开通餐厅,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙台小美食店招聘后厨,开平市长沙台小美食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙台小美食店招聘后厨,开平市长沙台小美食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙王斌美食店招聘后厨,开平市长沙王斌美食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙骏风通...招聘店员/营业员,开平市长沙骏风通讯设备店,3-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '导购/营业员']",
开平市长沙大渔美食店招聘后厨,开平市长沙大渔美食店,,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙华之莱...招聘后厨,开平市长沙华之莱美食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙日来美食店招聘厨师,开平市长沙日来美食店,1-2K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙开通餐厅招聘后厨,开平市长沙开通餐厅,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙治毅商店招聘店员/营业员,开平市长沙治毅商店,4-7K,江门市/开平市,06-24 刷新过,"['年龄不限', '导购/营业员']",
开平长沙澳莱酷品牛扒招聘后厨,开平市长沙澳莱酷品牛扒店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙泰盛建材店招聘木工,开平市长沙泰盛建材店,10-15K,江门市/开平市,06-24 刷新过,"['年龄不限', '木工']",
开平市长沙诗尼星...招聘木工,开平市长沙诗尼星家具店,8-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '木工']",
开平市长沙万岁日...招聘后厨,开平市长沙万岁日式料理店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
长沙荣启招聘后厨,开平市长沙荣启美食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙时涧餐厅招聘服务员,开平市长沙时涧餐厅,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '服务员']",
开平长沙澳莱酷品牛扒招聘后厨,开平市长沙澳莱酷品牛扒店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙开通餐厅招聘后厨,开平市长沙开通餐厅,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙糖门印...招聘收银,开平市长沙糖门印记小食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '收银员']",
开平市长沙上本熊...招聘日料厨师,开平市长沙上本熊美食店,4-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙渔乐泯...招聘餐饮学徒,开平市长沙渔乐泯美食店,3-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师学徒']",
开平市长沙简味渔粉店招聘厨师,开平市长沙简味渔粉店,3-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
长沙客蜀行美食店招聘餐饮学徒,开平市长沙客蜀行美食店,2-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师学徒']",
开平市长沙家嘉乐...招聘厨师,开平市长沙家嘉乐美食店,5-7K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙九合饮品店招聘奶茶店店员,开平市长沙九合饮品店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '饮品店员']",
开平市长沙串霸美食店招聘服务员,开平市长沙串霸美食店,2-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '服务员']",
开平市长沙上本熊...招聘餐饮学徒,开平市长沙上本熊美食店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师学徒']",
开平市长沙时涧餐厅招聘西餐厨师,开平市长沙时涧餐厅,3-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙青瑜饮品店招聘奶茶店店员,开平市长沙青瑜饮品店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '饮品店员']",
开平长沙澳莱酷品牛扒招聘厨师,开平市长沙澳莱酷品牛扒店,3-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
开平市长沙日来美食店招聘餐饮学徒,开平市长沙日来美食店,2-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师学徒']",
工程主管（长沙）,广东龙光集团物业管理有限公司顺德分公司,7-8K,,06-24 刷新过,"['年龄不限', '综合维修工']",
JAVA开发工程师（长沙）,东莞市泽企软件科技有限公司,10-15K,广东/东莞市,06-24 刷新过,"['年龄不限', 'Java']",
长沙梅溪湖迪卡侬高薪招聘轮滑教练，可兼职,佛山市欧赛溜溜体育发展有限公司,4-8K,广东/佛山市,06-24 刷新过,"['年龄不限', '其他（教师教务）']",
景观市场拓展总监/经理~长沙,佛山市顺德区顺茵绿化设计工程有限公司,20-40K,广东/佛山市,06-24 刷新过,"['年龄不限', '市场营销总监']",
老长沙现炒盖浇饭,佛山市顺德区阿一才餐饮店,3-4K,佛山市/顺德区,06-24 刷新过,"['年龄不限', '打荷/杂工']",
